Date,FG,NQ
2019-02-19,69.0,7066.60986328125
2019-02-20,70.0,7062.33984375
2019-02-21,70.0,7035.16015625
2019-02-22,69.0,7090.6298828125
2019-02-25,70.0,7115.43017578125
2019-02-26,70.0,7123.22021484375
2019-02-27,72.0,7117.0
2019-02-28,72.0,7097.52978515625
2019-03-01,71.0,7151.56982421875
2019-03-04,65.0,7150.830078125
2019-03-05,63.0,7156.7900390625
2019-03-06,61.0,7112.47021484375
2019-03-07,58.0,7026.8798828125
2019-03-08,55.0,7015.68994140625
2019-03-11,59.0,7164.02001953125
2019-03-12,59.0,7201.27978515625
2019-03-13,60.0,7256.97998046875
2019-03-14,60.0,7243.009765625
2019-03-15,65.0,7306.990234375
2019-03-18,67.0,7326.27978515625
2019-03-19,67.0,7349.27978515625
2019-03-20,64.0,7380.75
2019-03-21,64.0,7493.27001953125
2019-03-22,59.0,7326.06005859375
2019-03-25,55.0,7316.9599609375
2019-03-26,51.0,7351.14990234375
2019-03-27,52.0,7308.18994140625
2019-03-28,48.0,7320.47021484375
2019-03-29,49.0,7378.77001953125
2019-04-01,56.0,7478.419921875
2019-04-02,56.0,7499.64013671875
2019-04-03,64.0,7544.97021484375
2019-04-04,70.0,7540.56982421875
2019-04-05,74.0,7578.83984375
2019-04-08,72.0,7599.740234375
2019-04-09,70.0,7568.490234375
2019-04-10,72.0,7611.490234375
2019-04-11,68.0,7594.89013671875
2019-04-12,72.0,7628.14990234375
2019-04-15,70.0,7629.1201171875
2019-04-16,69.0,7654.72998046875
2019-04-17,71.0,7680.72021484375
2019-04-18,70.0,7689.72021484375
2019-04-22,71.0,7713.490234375
2019-04-23,73.0,7810.7099609375
2019-04-24,70.0,7784.41015625
2019-04-25,71.0,7816.919921875
2019-04-26,72.0,7826.68017578125
2019-04-29,69.0,7839.0400390625
2019-04-30,65.0,7781.4599609375
2019-05-01,65.0,7751.85009765625
2019-05-02,59.0,7724.06005859375
2019-05-03,58.0,7845.72998046875
2019-05-06,40.0,7794.08984375
2019-05-07,42.0,7640.14990234375
2019-05-08,42.0,7617.5498046875
2019-05-09,40.0,7582.75
2019-05-10,41.0,7586.52978515625
2019-05-13,35.0,7324.1298828125
2019-05-14,35.0,7401.8798828125
2019-05-15,35.0,7503.25
2019-05-16,37.0,7580.14013671875
2019-05-17,36.0,7503.68017578125
2019-05-20,33.0,7376.7001953125
2019-05-21,34.0,7451.02001953125
2019-05-22,32.0,7420.66015625
2019-05-23,28.0,7307.93017578125
2019-05-24,27.0,7300.9599609375
2019-05-28,23.0,7278.3798828125
2019-05-29,25.0,7216.85986328125
2019-05-30,24.0,7245.39990234375
2019-05-31,24.0,7127.9599609375
2019-06-03,25.0,6978.02001953125
2019-06-04,28.0,7166.75
2019-06-05,29.0,7220.89990234375
2019-06-06,29.0,7275.93017578125
2019-06-07,32.0,7417.2900390625
2019-06-10,37.0,7501.93017578125
2019-06-11,36.0,7513.85009765625
2019-06-12,34.0,7472.2900390625
2019-06-13,39.0,7510.68017578125
2019-06-14,38.0,7479.10986328125
2019-06-17,40.0,7526.52001953125
2019-06-18,44.0,7635.39990234375
2019-06-19,42.0,7667.740234375
2019-06-20,45.0,7738.0498046875
